Nro_Sem;Fecha_Cierre;TC_BCV;TC_Paralelo;RIN;Nro_INT;BM;D_PDVSA;M2;;;;
1;8/1/2021; 1,19 ; 1,45 ; 6.374,00 ;2; 415,23 ; 32.726,67 ; 578,11 ;;;;
2;15/1/2021; 1,49 ; 1,63 ; 6.371,00 ;2; 426,29 ; 37.124,22 ; 594,10 ;;;;
3;22/1/2021; 1,58 ; 1,70 ; 6.372,25 ;2; 447,84 ; 40.910,58 ; 634,70 ;;;;
4;29/1/2021; 1,78 ; 1,81 ; 6.367,60 ;1; 455,31 ; 45.062,67 ; 658,43 ;;;;
5;5/2/2021; 1,81 ; 1,81 ; 6.360,40 ;2; 468,11 ; 45.177,90 ; 673,62 ;;;;
6;12/2/2021; 1,80 ; 1,74 ; 6.342,00 ;1; 449,15 ; 44.096,25 ; 711,35 ;;;;
7;19/2/2021; 1,72 ; 1,78 ; 6.240,00 ;1; 514,17 ; 42.947,09 ; 783,78 ;;;;
8;26/2/2021; 1,83 ; 1,92 ; 6.249,20 ;2; 525,55 ; 46.597,26 ; 833,71 ;;;;
9;5/3/2021; 1,87 ; 1,89 ; 6.263,40 ;2; 520,94 ; 46.675,63 ; 855,70 ;;;;
10;12/3/2021; 1,88 ; 1,87 ; 6.259,40 ;2; 477,21 ; 46.294,06 ; 857,92 ;;;;
11;19/3/2021; 1,83 ; 1,85 ; 6.258,00 ;2; 544,17 ; 44.987,37 ; 945,22 ;;;;
12;26/3/2021; 1,83 ; 1,87 ; 6.252,20 ;2; 561,74 ; 46.155,90 ; 984,86 ;;;;
13;2/4/2021; 1,93 ; 2,09 ; 6.242,67 ;1; 620,08 ; 48.944,47 ; 1.060,44 ;;;;
14;9/4/2021; 2,08 ; 2,18 ; 6.249,20 ;1; 613,91 ; 53.219,12 ; 1.079,14 ;;;;
15;16/4/2021; 2,31 ; 2,45 ; 6.259,00 ;1; 598,56 ; 59.195,68 ; 1.112,30 ;;;;
16;23/4/2021; 2,46 ; 2,64 ; 6.265,75 ;1; 671,96 ; 62.197,17 ; 1.181,68 ;;;;
17;30/4/2021; 2,71 ; 2,81 ; 6.268,20 ;1; 767,33 ; 67.998,79 ; 1.270,53 ;;;;
18;7/5/2021; 2,84 ; 2,92 ; 6.332,40 ;1; 683,06 ; 70.802,59 ; 1.317,19 ;;;;
19;14/5/2021; 2,85 ; 2,94 ; 6.326,00 ;1; 822,37 ; 71.956,35 ; 1.400,47 ;;;;
20;21/5/2021; 2,99 ; 3,11 ; 6.308,40 ;1; 850,54 ; 75.336,19 ; 1.488,15 ;;;;
21;28/5/2021; 3,06 ; 3,14 ; 6.314,25 ;1; 980,70 ; 75.833,09 ; 1.613,14 ;;;;
22;4/6/2021; 3,11 ; 3,12 ; 6.259,20 ;1; 1.014,07 ; 76.735,32 ; 1.691,70 ;;;;
23;11/6/2021; 3,12 ; 2,94 ; 6.245,40 ;1; 1.015,02 ; 77.518,16 ; 1.742,85 ;;;;
24;18/6/2021; 3,11 ; 3,14 ; 6.231,75 ;1; 1.093,14 ; 77.180,39 ; 1.843,46 ;;;;
25;25/6/2021; 3,16 ; 3,19 ; 6.216,75 ;1; 1.099,33 ; 78.929,64 ; 1.870,37 ;;;;
26;2/7/2021; 3,22 ; 3,26 ; 6.184,75 ;1; 1.175,07 ; 80.613,36 ; 1.986,42 ;;;;
27;9/7/2021; 3,25 ; 3,36 ; 6.176,75 ;1; 1.190,10 ; 80.960,10 ; 2.071,58 ;;;;
28;16/7/2021; 3,34 ; 3,55 ; 6.205,20 ;2; 1.187,83 ; 85.508,03 ; 2.127,74 ;;;;
29;23/7/2021; 3,66 ; 3,87 ; 6.246,40 ;1; 1.133,20 ; 93.476,11 ; 2.104,86 ;;;;
30;30/7/2021; 3,94 ; 4,16 ; 6.245,80 ;2; 1.248,27 ; 98.561,62 ; 2.167,46 ;;;;
31;6/8/2021; 4,03 ; 4,10 ; 6.225,80 ;1; 1.319,49 ; 100.022,25 ; 2.194,17 ;;;;
